name,doresal/ventral,anterior/posterior,left/right,sex,sub/family,genus,species,subspecies,name,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4
JM02.1083,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1083-v_Ant_d,886231.0,725.3273,808.0,13.8325,140816881458.0,71658806372738.0,3.96457172681398e+16,0.49333999999999995,0.53518,0.56918
JM02.1083,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1083-v_Ant_g,909332.0,742.1787,819.0,-40.1524,148485158134.0,76978768622178.0,4.34694295670678e+16,0.4934,0.5361199999999999,0.57093
JM02.1084,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1084-d_Ant_d,964114.0,760.3646,824.0,-35.744,161602406245.0,85147694668057.0,4.88098765937465e+16,0.49686,0.54045,0.5756600000000001
JM02.1084,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1084-d_Ant_g,979155.0,769.0582,847.0,-17.3923,174799862094.0,94265640005200.0,5.52569695273538e+16,0.49883999999999995,0.5411100000000001,0.57544
JM02.1084,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1084-v_Ant_d,979255.0,770.0034,848.0,-20.0659,174657450134.0,94199499359696.0,5.52273121479589e+16,0.49801999999999996,0.54033,0.57467
JM02.1084,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1084-v_Ant_g,966179.0,762.5984,830.0,-28.6774,162793423658.0,86026727429350.0,4.94722724231542e+16,0.49455,0.5379999999999999,0.57312
JM02.1420,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1420-d_Ant_d,996185.0,802.4249,876.0,3.4592,198206769378.0,112027534782338.0,6.86402569089312e+16,0.5092,0.55101,0.58486
JM02.1420,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1420-d_Ant_g,980255.0,798.3004,875.0,21.182,194812531961.0,109944431567379.0,6.72891840703178e+16,0.50948,0.55115,0.58498
JM02.1420,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1420-v_Ant_d,981074.0,798.8096,877.0,19.7721,195366730127.0,110354140533935.0,6.75977379540118e+16,0.50883,0.55042,0.5842
JM02.1420,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1420-v_Ant_g,995942.0,803.8081,877.0,4.2926,198428711082.0,112300146556744.0,6.89190470402704e+16,0.5089600000000001,0.55087,0.5848300000000001
JM02.1537,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1537-d_Ant_d,948081.0,771.4749,854.0,15.0024,165638513667.0,89095990138809.0,5.22693226301737e+16,0.48944,0.53237,0.5674
JM02.1537,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1537-d_Ant_g,951592.0,779.6193,860.0,-17.414,170143607226.0,92478380392390.0,5.47817089704196e+16,0.49168,0.5346,0.56957
JM02.1537,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1537-v_Ant_d,951313.0,779.1918,857.0,-22.4601,169367093688.0,91913503172960.0,5.436429196348e+16,0.49235,0.5354300000000001,0.5705100000000001
JM02.1537,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1537-v_Ant_g,950774.0,772.5674,855.0,16.0217,166203189071.0,89470514905635.0,5.25409528783366e+16,0.48901000000000006,0.53199,0.56707
JM02.1538,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1538-d_Ant_d,923283.0,767.8425,854.0,-35.6092,163455024037.0,88186687935923.0,5.18969374731026e+16,0.49268999999999996,0.5352600000000001,0.57016
JM02.1538,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1538-d_Ant_g,924336.0,770.4106,862.0,-7.042000000000001,164871742573.0,89253924046349.0,5.2709464416641e+16,0.48995,0.53222,0.5669
JM02.1538,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1538-v_Ant_d,925947.0,771.1194,862.0,-7.5491,165595612166.0,89746515626088.0,5.30569798943333e+16,0.4906,0.53289,0.5675899999999999
JM02.1538,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1538-v_Ant_g,924935.0,769.0558,858.0,-36.7092,164628511981.0,89032822477533.0,5.25275966018608e+16,0.49171000000000004,0.53414,0.56896
JM02.1539,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1539-d_Ant_d,952140.0,774.203,856.0,-22.4272,173367042412.0,94488578528566.0,5.60756466674107e+16,0.49849,0.54086,0.5755
JM02.1539,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1539-d_Ant_g,957581.0,784.4896,865.0,-27.9603,175703954895.0,96438081532335.0,5.7660974088496e+16,0.49521000000000004,0.53787,0.57268
