name,sex,genotype,area,ellipse_axe_1_length,max_axe_1_length,deviation_max_axe_1_from_center,axe_1_moment_2,axe_1_moment_3,axe_1_moment_4,std_axe_1_moment_2,std_axe_1_moment_3,std_axe_1_moment_4
1018-d_Post_d,M,a-s,809782.0,1238.2769,1225.0,29.5712,383399065399.0,331138868116525.0,3.06606875958037e+17,0.5617,0.60591,0.64035
1019-d_Ant_g,F,a-s,1080507.0,1728.7514,1771.0,-100.9419,905091879889.0,1074055328133440.0,1.38519868201155e+18,0.51679,0.56353,0.60083
1019-d_Post_d,F,a-s,692054.0,1175.5962,1150.0,127.1192,294854849522.0,241294282869942.0,2.11408000939233e+17,0.56759,0.61203,0.64647
1020-d_Ant_g,M,e-s,1117667.0,1758.8772,1807.0,-105.0717,1002618566937.0,1220024823097150.0,1.60939444715644e+18,0.52415,0.56981,0.60622
1020-d_Post_g,M,e-s,757797.0,1177.7519,1165.0,17.8053,335094625909.0,278376059548473.0,2.47957877445457e+17,0.5708,0.61475,0.6492
1028-d_Ant_g,M,a-s,1100444.0,1756.0353,1804.0,-90.4156,977979111413.0,1184632478434160.0,1.55478137069948e+18,0.52257,0.56811,0.60435
1028-d_Post_g,M,a-s,771964.0,1190.0227,1179.0,-66.2491,351950402119.0,296313662660355.0,2.67332375851331e+17,0.5727,0.61641,0.65065
1029-d_Ant_g,M,s-s,1138990.0,1796.5531,1837.0,-84.033,1081739169548.0,1347240475626370.0,1.8150320134989e+18,0.53051,0.5757,0.61162
1029-d_Post_g,M,s-s,748925.0,1182.1081,1174.0,1.2144,343901416039.0,289036586043831.0,2.59859580993846e+17,0.5772,0.62016,0.65374
1030-d_Ant_d,M,e-s,1054439.0,1710.5792,1735.0,97.6822,1111654124459.0,1384369207461600.0,1.83329311485446e+18,0.5918,0.63112,0.66184
1030-d_Post_d,M,e-s,710435.0,1153.8736,1146.0,84.9628,285053782581.0,227569559267715.0,1.94791428517288e+17,0.55273,0.59705,0.63143
1036-d_Ant_g,M,a-s,1053937.0,1688.4474,1738.0,-98.6509,856368196257.0,995057162737823.0,1.25383813664052e+18,0.51865,0.56445,0.60091
1036-d_Post_g,M,a-s,725224.0,1132.4175,1116.0,-98.6783,292668802574.0,232635098327844.0,1.9813294951054e+17,0.56923,0.61339,0.64782
1037-d_Ant_g,M,a-e,1133782.0,1735.2357,1775.0,-105.4738,972590565818.0,1163425417438900.0,1.51127155626334e+18,0.5218,0.56825,0.60535
1037-d_Post_g,M,a-e,790356.0,1190.8893,1183.0,-85.1766,361423703261.0,304756462098533.0,2.75505681707831e+17,0.57163,0.61526,0.64952
1052-d_Ant_g,M,a-e,1151146.0,1776.4828,1821.0,-128.2016,1049081802867.0,1289772505160110.0,1.72147661864538e+18,0.52424,0.57036,0.60727
1052-d_Post_g,M,a-e,800738.0,1192.3945,1185.0,-31.9997,360301609651.0,302450417232701.0,2.72326457730807e+17,0.56607,0.61001,0.64444
