,bikeid,HarvestTime,id,name,max,min,bikeid,battery,ebikestateid,name
293,33,2021-04-30 00:20:02,1,Perfect,100,60,33,60,2,Normal
294,35,2021-04-30 00:20:02,2,Good,59,20,35,47,2,Normal
295,41,2021-04-30 00:20:02,1,Perfect,100,60,41,82,2,Normal
296,42,2021-04-30 00:20:02,1,Perfect,100,60,42,77,2,Normal
297,43,2021-04-30 00:20:02,1,Perfect,100,60,43,81,2,Normal
298,44,2021-04-30 00:20:02,4,Dead,0,0,44,0,2,Normal
299,45,2021-04-30 00:20:02,1,Perfect,100,60,45,80,2,Normal
300,48,2021-04-30 00:20:02,1,Perfect,100,60,48,80,2,Normal
301,50,2021-04-30 00:20:02,2,Good,59,20,50,41,2,Normal
302,52,2021-04-30 00:20:02,1,Perfect,100,60,52,64,2,Normal
303,53,2021-04-30 00:20:02,2,Good,59,20,53,47,2,Normal
304,55,2021-04-30 00:20:02,2,Good,59,20,55,53,2,Normal
305,56,2021-04-30 00:20:02,1,Perfect,100,60,56,66,2,Normal
306,59,2021-04-30 00:20:02,2,Good,59,20,59,40,2,Normal
307,60,2021-04-30 00:20:02,2,Good,59,20,60,30,2,Normal
308,61,2021-04-30 00:20:02,2,Good,59,20,61,33,2,Normal
309,63,2021-04-30 00:20:02,2,Good,59,20,63,37,2,Normal
310,66,2021-04-30 00:20:02,1,Perfect,100,60,66,63,2,Normal
311,69,2021-04-30 00:20:02,2,Good,59,20,69,48,2,Normal
312,71,2021-04-30 00:20:02,2,Good,59,20,71,36,2,Normal
313,73,2021-04-30 00:20:02,2,Good,59,20,73,57,2,Normal
314,74,2021-04-30 00:20:02,1,Perfect,100,60,74,75,2,Normal
315,75,2021-04-30 00:20:02,1,Perfect,100,60,75,67,2,Normal
316,76,2021-04-30 00:20:02,1,Perfect,100,60,76,77,2,Normal
317,80,2021-04-30 00:20:02,1,Perfect,100,60,80,74,2,Normal
318,82,2021-04-30 00:20:02,1,Perfect,100,60,82,78,2,Normal
319,83,2021-04-30 00:20:02,2,Good,59,20,83,48,2,Normal
320,85,2021-04-30 00:20:02,1,Perfect,100,60,85,67,2,Normal
321,86,2021-04-30 00:20:02,1,Perfect,100,60,86,86,2,Normal
322,87,2021-04-30 00:20:02,2,Good,59,20,87,43,2,Normal
323,90,2021-04-30 00:20:02,2,Good,59,20,90,45,2,Normal
324,92,2021-04-30 00:20:02,1,Perfect,100,60,92,80,2,Normal
325,93,2021-04-30 00:20:02,1,Perfect,100,60,93,93,2,Normal
