"Statistic","Year","County and Region","UNIT","VALUE"
"Total Household Income","2017","Wexford","Euro Million","3629"
"Total Household Income","2017","Waterford","Euro Million","3058"
"Total Household Income","2017","South-West","Euro Million","19243"
"Total Household Income","2017","Cork","Euro Million","15468"
"Total Household Income","2017","Kerry","Euro Million","3775"
"Total Household Income","2017","Eastern and Midland","Euro Million","75756"
"Total Household Income","2017","Dublin","Euro Million","46802"
"Total Household Income","2017","Mid-East","Euro Million","20884"
"Total Household Income","2017","Kildare","Euro Million","7262"
"Total Household Income","2017","Louth","Euro Million","3378"
"Total Household Income","2017","Meath","Euro Million","5876"
"Total Household Income","2017","Wicklow","Euro Million","4368"
"Total Household Income","2017","Midland","Euro Million","8070"
"Total Household Income","2017","Laois","Euro Million","2415"
"Total Household Income","2017","Longford","Euro Million","1046"
"Total Household Income","2017","Offaly","Euro Million","2058"
"Total Household Income","2017","Westmeath","Euro Million","2551"
"Total Income per Person","2000","State","Euro","17788"
"Total Income per Person","2000","Northern and Western","Euro","15066"
"Total Income per Person","2000","Border","Euro","14317"
"Total Income per Person","2000","Leitrim","Euro","14749"
"Total Income per Person","2000","Sligo","Euro","14952"
"Total Income per Person","2000","Cavan","Euro","15006"
"Total Income per Person","2000","Donegal","Euro","13448"
"Total Income per Person","2000","Monaghan","Euro","14906"
"Total Income per Person","2000","West","Euro","15737"
"Total Income per Person","2000","Galway","Euro","15944"
"Total Income per Person","2000","Mayo","Euro","15548"
"Total Income per Person","2000","Roscommon","Euro","15357"
"Total Income per Person","2000","Southern","Euro","16346"
"Total Income per Person","2000","Mid-West","Euro","16632"
"Total Income per Person","2000","Clare","Euro","16985"
"Total Income per Person","2000","Limerick","Euro","17368"
"Total Income per Person","2000","Tipperary","Euro","15476"
"Total Income per Person","2000","South-East","Euro","16089"
"Total Income per Person","2000","Carlow","Euro","16125"
"Total Income per Person","2000","Kilkenny","Euro","15071"
"Total Income per Person","2000","Wexford","Euro","15559"
"Total Income per Person","2000","Waterford","Euro","17468"
"Total Income per Person","2000","South-West","Euro","16289"
"Total Income per Person","2000","Cork","Euro","16876"
"Total Income per Person","2000","Kerry","Euro","14331"
"Total Income per Person","2000","Eastern and Midland","Euro","19875"
"Total Income per Person","2000","Dublin","Euro","21241"
"Total Income per Person","2000","Mid-East","Euro","18547"
"Total Income per Person","2000","Kildare","Euro","19837"
"Total Income per Person","2000","Louth","Euro","18190"
"Total Income per Person","2000","Meath","Euro","18034"
"Total Income per Person","2000","Wicklow","Euro","17673"
"Total Income per Person","2000","Midland","Euro","15920"
"Total Income per Person","2000","Laois","Euro","15714"
"Total Income per Person","2000","Longford","Euro","15281"
"Total Income per Person","2000","Offaly","Euro","15176"
"Total Income per Person","2000","Westmeath","Euro","17070"
"Total Income per Person","2001","State","Euro","19717"
"Total Income per Person","2001","Northern and Western","Euro","16476"
"Total Income per Person","2001","Border","Euro","15639"
"Total Income per Person","2001","Leitrim","Euro","15831"
"Total Income per Person","2001","Sligo","Euro","16558"
"Total Income per Person","2001","Cavan","Euro","16506"
"Total Income per Person","2001","Donegal","Euro","14611"
"Total Income per Person","2001","Monaghan","Euro","16257"
"Total Income per Person","2001","West","Euro","17223"
"Total Income per Person","2001","Galway","Euro","17499"
"Total Income per Person","2001","Mayo","Euro","16894"
"Total Income per Person","2001","Roscommon","Euro","16869"
"Total Income per Person","2001","Southern","Euro","18111"
"Total Income per Person","2001","Mid-West","Euro","18576"
"Total Income per Person","2001","Clare","Euro","18334"
"Total Income per Person","2001","Limerick","Euro","19639"
"Total Income per Person","2001","Tipperary","Euro","17436"
"Total Income per Person","2001","South-East","Euro","17558"
"Total Income per Person","2001","Carlow","Euro","17580"
"Total Income per Person","2001","Kilkenny","Euro","16326"
"Total Income per Person","2001","Wexford","Euro","17308"
"Total Income per Person","2001","Waterford","Euro","18804"
"Total Income per Person","2001","South-West","Euro","18099"
"Total Income per Person","2001","Cork","Euro","18725"
"Total Income per Person","2001","Kerry","Euro","16011"
"Total Income per Person","2001","Eastern and Midland","Euro","22118"
"Total Income per Person","2001","Dublin","Euro","23735"
"Total Income per Person","2001","Mid-East","Euro","20556"
"Total Income per Person","2001","Kildare","Euro","21771"
"Total Income per Person","2001","Louth","Euro","20384"
"Total Income per Person","2001","Meath","Euro","19853"
"Total Income per Person","2001","Wicklow","Euro","19814"
"Total Income per Person","2001","Midland","Euro","17514"
"Total Income per Person","2001","Laois","Euro","17039"
"Total Income per Person","2001","Longford","Euro","16866"
"Total Income per Person","2001","Offaly","Euro","16704"
"Total Income per Person","2001","Westmeath","Euro","18943"
"Total Income per Person","2002","State","Euro","20594"
"Total Income per Person","2002","Northern and Western","Euro","17414"
"Total Income per Person","2002","Border","Euro","16676"
"Total Income per Person","2002","Leitrim","Euro","17232"
"Total Income per Person","2002","Sligo","Euro","18288"
"Total Income per Person","2002","Cavan","Euro","17422"
"Total Income per Person","2002","Donegal","Euro","15321"
"Total Income per Person","2002","Monaghan","Euro","17360"
"Total Income per Person","2002","West","Euro","18057"
"Total Income per Person","2002","Galway","Euro","18407"
"Total Income per Person","2002","Mayo","Euro","17523"
"Total Income per Person","2002","Roscommon","Euro","17863"
"Total Income per Person","2002","Southern","Euro","19123"
"Total Income per Person","2002","Mid-West","Euro","19269"
"Total Income per Person","2002","Clare","Euro","19085"
"Total Income per Person","2002","Limerick","Euro","19793"
"Total Income per Person","2002","Tipperary","Euro","18749"
"Total Income per Person","2002","South-East","Euro","18529"
"Total Income per Person","2002","Carlow","Euro","17557"
"Total Income per Person","2002","Kilkenny","Euro","17638"
"Total Income per Person","2002","Wexford","Euro","17955"
"Total Income per Person","2002","Waterford","Euro","20333"
"Total Income per Person","2002","South-West","Euro","19370"
"Total Income per Person","2002","Cork","Euro","20119"
"Total Income per Person","2002","Kerry","Euro","16838"
"Total Income per Person","2002","Eastern and Midland","Euro","22868"
"Total Income per Person","2002","Dublin","Euro","24317"
"Total Income per Person","2002","Mid-East","Euro","21539"
"Total Income per Person","2002","Kildare","Euro","22789"
"Total Income per Person","2002","Louth","Euro","20931"
"Total Income per Person","2002","Meath","Euro","20527"
"Total Income per Person","2002","Wicklow","Euro","21472"
"Total Income per Person","2002","Midland","Euro","18685"
"Total Income per Person","2002","Laois","Euro","18335"
"Total Income per Person","2002","Longford","Euro","18467"
"Total Income per Person","2002","Offaly","Euro","18006"
"Total Income per Person","2002","Westmeath","Euro","19667"
"Total Income per Person","2003","State","Euro","21797"
"Total Income per Person","2003","Northern and Western","Euro","18702"
"Total Income per Person","2003","Border","Euro","17778"
"Total Income per Person","2003","Leitrim","Euro","18650"
"Total Income per Person","2003","Sligo","Euro","19758"
"Total Income per Person","2003","Cavan","Euro","18597"
"Total Income per Person","2003","Donegal","Euro","16149"
"Total Income per Person","2003","Monaghan","Euro","18538"
"Total Income per Person","2003","West","Euro","19504"
"Total Income per Person","2003","Galway","Euro","20036"
"Total Income per Person","2003","Mayo","Euro","18789"
"Total Income per Person","2003","Roscommon","Euro","18999"
"Total Income per Person","2003","Southern","Euro","20208"
"Total Income per Person","2003","Mid-West","Euro","20362"
"Total Income per Person","2003","Clare","Euro","19960"
"Total Income per Person","2003","Limerick","Euro","21032"
"Total Income per Person","2003","Tipperary","Euro","19823"
"Total Income per Person","2003","South-East","Euro","19622"
"Total Income per Person","2003","Carlow","Euro","18495"
"Total Income per Person","2003","Kilkenny","Euro","18839"
"Total Income per Person","2003","Wexford","Euro","19220"
"Total Income per Person","2003","Waterford","Euro","21214"
"Total Income per Person","2003","South-West","Euro","20446"
"Total Income per Person","2003","Cork","Euro","21206"
"Total Income per Person","2003","Kerry","Euro","17880"
"Total Income per Person","2003","Eastern and Midland","Euro","24122"
"Total Income per Person","2003","Dublin","Euro","25565"
"Total Income per Person","2003","Mid-East","Euro","22651"
"Total Income per Person","2003","Kildare","Euro","23732"
"Total Income per Person","2003","Louth","Euro","21942"
"Total Income per Person","2003","Meath","Euro","22032"
"Total Income per Person","2003","Wicklow","Euro","22451"
"Total Income per Person","2003","Midland","Euro","20402"
"Total Income per Person","2003","Laois","Euro","20121"
"Total Income per Person","2003","Longford","Euro","19864"
"Total Income per Person","2003","Offaly","Euro","19697"
"Total Income per Person","2003","Westmeath","Euro","21488"
"Total Income per Person","2004","State","Euro","23254"
"Total Income per Person","2004","Northern and Western","Euro","20322"
"Total Income per Person","2004","Border","Euro","19447"
"Total Income per Person","2004","Leitrim","Euro","20801"
"Total Income per Person","2004","Sligo","Euro","21483"
"Total Income per Person","2004","Cavan","Euro","20570"
