"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2012","Cork","State=100","99.9"
"Index of Disposable Income per Person","2012","Kerry","State=100","91.4"
"Index of Disposable Income per Person","2012","Eastern and Midland","State=100","104.8"
"Index of Disposable Income per Person","2012","Dublin","State=100","111.7"
"Index of Disposable Income per Person","2012","Mid-East","State=100","97.4"
"Index of Disposable Income per Person","2012","Kildare","State=100","100.3"
"Index of Disposable Income per Person","2012","Louth","State=100","94.8"
"Index of Disposable Income per Person","2012","Meath","State=100","95.7"
"Index of Disposable Income per Person","2012","Wicklow","State=100","97.7"
"Index of Disposable Income per Person","2012","Midland","State=100","90.2"
"Index of Disposable Income per Person","2012","Laois","State=100","90.3"
"Index of Disposable Income per Person","2012","Longford","State=100","91.9"
"Index of Disposable Income per Person","2012","Offaly","State=100","86.6"
"Index of Disposable Income per Person","2012","Westmeath","State=100","92.5"
"Index of Disposable Income per Person","2013","State","State=100","100"
"Index of Disposable Income per Person","2013","Northern and Western","State=100","89.1"
"Index of Disposable Income per Person","2013","Border","State=100","86.4"
"Index of Disposable Income per Person","2013","Leitrim","State=100","94"
"Index of Disposable Income per Person","2013","Sligo","State=100","94.7"
"Index of Disposable Income per Person","2013","Cavan","State=100","88.5"
"Index of Disposable Income per Person","2013","Donegal","State=100","81.2"
"Index of Disposable Income per Person","2013","Monaghan","State=100","85"
"Index of Disposable Income per Person","2013","West","State=100","91.4"
"Index of Disposable Income per Person","2013","Galway","State=100","93.7"
"Index of Disposable Income per Person","2013","Mayo","State=100","89.5"
"Index of Disposable Income per Person","2013","Roscommon","State=100","86.1"
"Index of Disposable Income per Person","2013","Southern","State=100","98.4"
"Index of Disposable Income per Person","2013","Mid-West","State=100","101.2"
"Index of Disposable Income per Person","2013","Clare","State=100","90.1"
"Index of Disposable Income per Person","2013","Limerick","State=100","108.4"
"Index of Disposable Income per Person","2013","Tipperary","State=100","100.7"
"Index of Disposable Income per Person","2013","South-East","State=100","95.5"
"Index of Disposable Income per Person","2013","Carlow","State=100","97.8"
"Index of Disposable Income per Person","2013","Kilkenny","State=100","94.7"
