Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Weapons and Explosives Offences,Number,0,0,1,1,1,2,1,0,2,0,0,0,0,0,3,1,1
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Damage to property and to the environment,Number,4,10,8,15,8,13,10,10,5,0,4,5,5,4,8,6,11
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Public order and other social code offences,Number,13,20,22,20,37,44,21,23,32,13,9,11,11,13,14,5,1
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,3,1,0,1,1,4,0,1,2,0,2,0,1,4,1,7
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,2,3,0,7,0,2,4,5,2,0,2,2,2,3,2,2
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Dangerous or negligent acts,Number,5,2,7,10,8,3,7,7,4,4,6,3,4,0,4,4,3
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Burglary and related offences,Number,11,6,4,6,3,2,4,1,7,3,1,2,3,0,7,0,1
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Theft and related offences,Number,12,7,6,4,7,8,5,9,11,5,5,2,3,3,2,4,2
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division","Fraud, deception and related offences",Number,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Controlled drug offences,Number,1,0,0,2,3,2,3,0,0,0,0,1,0,5,3,2,1
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Weapons and Explosives Offences,Number,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Damage to property and to the environment,Number,7,4,9,2,4,4,9,1,5,2,4,7,4,2,3,0,1
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division",Public order and other social code offences,Number,6,12,28,30,10,16,11,27,9,7,5,4,1,4,3,0,1
Recorded Crime Offences Under Reservation,"12106 Mountcharles, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences",Number,104,128,89,128,151,98,156,201,193,174,181,229,188,185,213,305,319
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Dangerous or negligent acts,Number,71,70,67,74,89,127,86,79,48,53,42,48,40,50,39,48,61
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Kidnapping and related offences,Number,1,0,0,2,2,1,1,2,1,0,3,1,1,0,1,3,0
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division","Robbery, extortion and hijacking offences",Number,50,76,68,42,47,37,56,78,80,92,77,72,49,35,54,64,54
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Burglary and related offences,Number,285,317,320,333,292,243,303,313,333,279,268,282,227,287,251,219,185
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Theft and related offences,Number,1067,1005,818,767,694,691,730,849,905,908,995,892,858,863,894,876,856
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division","Fraud, deception and related offences",Number,16,22,44,65,57,61,63,68,106,101,98,99,55,63,54,100,105
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Controlled drug offences,Number,38,60,104,89,152,296,333,273,156,172,148,133,139,149,130,199,213
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Weapons and Explosives Offences,Number,19,25,29,48,32,46,66,61,46,46,34,29,27,18,33,48,37
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Damage to property and to the environment,Number,485,616,424,388,348,311,384,338,393,363,360,362,272,284,245,275,225
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division",Public order and other social code offences,Number,362,388,330,450,439,440,433,494,353,383,297,214,232,189,243,295,267
Recorded Crime Offences Under Reservation,"62203 Mountjoy, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime",Number,51,52,49,80,110,664,155,115,64,61,49,55,26,54,79,156,118
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,14,14,15,14,29,35,34,24,32,31,28,41,60,24,49,53,53
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Dangerous or negligent acts,Number,12,9,12,18,21,21,15,12,6,6,11,7,14,18,10,13,16
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,0,1,1,4,1,2,2,2,3,2,2,1,1,1,2,1,0
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Burglary and related offences,Number,20,25,28,23,31,33,29,29,29,47,75,50,79,27,37,16,22
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Theft and related offences,Number,41,38,40,41,41,81,64,75,68,94,109,80,139,62,69,53,37
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division","Fraud, deception and related offences",Number,2,5,5,2,5,11,8,3,5,4,3,10,6,4,3,7,8
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Controlled drug offences,Number,4,2,9,12,20,31,11,21,18,22,25,12,18,39,23,24,29
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Weapons and Explosives Offences,Number,1,0,3,1,10,6,13,7,5,9,3,4,14,10,4,4,7
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Damage to property and to the environment,Number,15,22,25,26,52,68,52,53,60,103,67,65,82,76,44,40,51
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division",Public order and other social code offences,Number,20,13,37,36,40,75,47,57,61,38,31,32,36,29,34,30,31
Recorded Crime Offences Under Reservation,"41209 Mountmellick, Laois/Offaly Division","Offences against government, justice procedures and organisation of crime",Number,1,1,2,13,5,10,5,2,1,4,4,2,8,3,7,5,14
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,4,10,8,12,25,26,18,15,17,16,15,24,18,27,28,32,26
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Dangerous or negligent acts,Number,14,8,18,13,21,19,9,5,6,15,3,10,6,6,5,11,9
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,1,1,2,2,0,2,0,0,4,0,2,1,1,4,4,4,0
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Burglary and related offences,Number,24,18,39,35,28,34,37,29,32,43,62,44,84,34,37,12,19
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Theft and related offences,Number,45,31,25,28,41,44,45,43,43,40,99,57,49,34,40,23,20
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division","Fraud, deception and related offences",Number,0,6,3,2,9,1,7,2,5,2,0,3,1,4,6,5,5
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Controlled drug offences,Number,0,4,2,5,1,11,3,4,11,4,4,4,4,5,5,5,11
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Weapons and Explosives Offences,Number,0,2,0,3,1,1,0,1,4,2,2,1,1,1,3,0,2
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Damage to property and to the environment,Number,14,16,9,20,25,48,60,33,28,23,26,24,31,23,27,31,39
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division",Public order and other social code offences,Number,10,8,5,4,25,18,19,26,11,12,14,17,15,12,9,15,19
Recorded Crime Offences Under Reservation,"41210 Mountrath, Laois/Offaly Division","Offences against government, justice procedures and organisation of crime",Number,0,2,1,3,1,4,1,4,2,2,1,1,8,4,1,4,13
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,15,17,21,22,19,28,26,24,19,17,12,8,15,14,10,15,4
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Dangerous or negligent acts,Number,7,2,17,20,19,11,8,7,8,3,5,3,9,7,7,10,13
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Burglary and related offences,Number,11,14,15,3,7,15,20,27,20,14,13,8,2,8,8,1,6
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Theft and related offences,Number,34,29,27,32,26,20,37,27,27,11,11,12,7,12,4,10,8
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division","Fraud, deception and related offences",Number,3,2,4,6,4,5,7,6,5,1,3,1,1,2,0,4,0
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Controlled drug offences,Number,3,2,6,8,3,23,7,4,11,4,2,0,3,0,2,2,15
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Weapons and Explosives Offences,Number,1,2,1,3,5,6,2,2,3,0,4,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Damage to property and to the environment,Number,45,26,22,23,28,35,34,37,26,12,15,9,9,15,14,7,4
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division",Public order and other social code offences,Number,29,24,43,19,41,29,23,25,14,8,9,11,14,12,16,12,11
Recorded Crime Offences Under Reservation,"12207 Moville, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,4,1,3,1,4,1,2,1,2,1,0,0,1,0,2,0,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,3,0,1,5,0,2,2,3,4,3,0,4,0,3,4,5
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Dangerous or negligent acts,Number,1,3,4,8,2,2,4,2,2,3,2,3,2,2,1,2,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Burglary and related offences,Number,3,3,7,4,3,9,1,6,3,4,7,4,3,2,1,0,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Theft and related offences,Number,5,6,8,5,6,5,16,3,8,9,7,9,8,7,5,4,3
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division","Fraud, deception and related offences",Number,0,0,0,0,5,7,4,0,0,1,1,0,0,0,0,0,2
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Controlled drug offences,Number,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Damage to property and to the environment,Number,0,2,2,2,2,5,0,4,2,2,0,1,0,1,2,2,2
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division",Public order and other social code offences,Number,2,7,3,1,1,0,5,1,2,1,2,0,4,2,0,0,5
Recorded Crime Offences Under Reservation,"23109 Moylough, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,4
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division","Attempts/threats to murder, assaults, harassments and related offences",Number,0,1,1,1,0,3,1,2,2,0,1,0,1,2,0,0,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Dangerous or negligent acts,Number,0,0,1,0,1,3,0,3,2,0,0,0,0,6,1,2,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Burglary and related offences,Number,3,9,9,3,5,6,6,5,9,1,5,4,0,0,1,0,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Theft and related offences,Number,4,4,10,11,9,12,2,9,7,9,7,6,4,6,2,4,1
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division","Fraud, deception and related offences",Number,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Controlled drug offences,Number,1,1,0,0,1,1,0,3,0,1,4,4,2,3,1,2,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Weapons and Explosives Offences,Number,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Damage to property and to the environment,Number,2,0,1,2,4,5,3,2,2,1,1,3,1,3,1,2,2
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division",Public order and other social code offences,Number,0,3,3,0,3,1,3,1,0,1,0,1,0,1,1,0,0
Recorded Crime Offences Under Reservation,"51403 Moyne, Tipperary Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,7,8,8,10,20,11,12,9,7,8,2,9,9,4,3,1
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Dangerous or negligent acts,Number,24,10,12,18,12,10,3,7,4,5,9,7,8,3,4,4,5
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division","Robbery, extortion and hijacking offences",Number,2,0,1,2,0,0,1,1,1,5,1,1,1,0,0,0,1
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Burglary and related offences,Number,10,18,11,11,4,13,20,10,17,18,4,15,7,1,5,2,7
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Theft and related offences,Number,36,49,31,29,23,22,23,17,21,17,34,25,19,9,9,11,11
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division","Fraud, deception and related offences",Number,7,13,9,5,5,5,3,2,2,4,1,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Controlled drug offences,Number,1,0,2,1,0,5,5,3,6,0,2,1,3,1,2,1,6
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Weapons and Explosives Offences,Number,0,0,1,1,1,1,3,0,2,1,2,0,0,0,0,2,0
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Damage to property and to the environment,Number,22,18,26,9,9,27,17,13,10,12,12,7,11,3,6,6,5
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division",Public order and other social code offences,Number,11,10,24,12,19,20,19,16,15,5,6,9,5,13,8,4,14
Recorded Crime Offences Under Reservation,"12208 Muff, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1
Recorded Crime Offences Under Reservation,"53106 Muine Bheag, Kilkenny/Carlow Division","Attempts/threats to murder, assaults, harassments and related offences",Number,15,20,13,29,50,48,47,39,24,23,11,13,16,16,9,26,13
Recorded Crime Offences Under Reservation,"53106 Muine Bheag, Kilkenny/Carlow Division",Dangerous or negligent acts,Number,9,17,17,21,31,15,18,8,5,16,7,5,6,8,11,9,11
Recorded Crime Offences Under Reservation,"53106 Muine Bheag, Kilkenny/Carlow Division",Kidnapping and related offences,Number,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"53106 Muine Bheag, Kilkenny/Carlow Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,2,1,0,3,2,1,2,3,0,0,1
Recorded Crime Offences Under Reservation,"53106 Muine Bheag, Kilkenny/Carlow Division",Burglary and related offences,Number,54,54,52,54,53,76,72,47,63,72,52,24,23,14,24,21,17
