id_wing,s_wing,wing,dg_wing,area,peri,e_len_axe1,max_len_axe1,devmax_cent_axe1,m2_axe1,m3_axe1,m4_axe1,stdm2_axe1,stdm3_axe1,stdm4_axe1,e_len_axe2,max_len_axe2,devmax_cent_axe2,m2_axe2,m3_axe2,m4_axe2,stdm2_axe2,stdm3_axe2,stdm4_axe2,sex,tribe,genus,geno1,geno2,seg
MJ99.0077-v_Post_g,v,Post,g,746454.0,3628.3973,1242.8568,1216.0,-5.9183,363511622762.0,317225053747940.0,2.96462935871307e+17,0.5738800000000001,0.61828,0.65284,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0079-d_Ant_d,d,Ant,d,1050269.0,4909.3763,1718.5576,1809.0,103.3647,1212928109052.0,1563549276300200.0,2.14263137287943e+18,0.59406,0.6312,0.66065,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-d_Ant_g,d,Ant,g,1040371.0,4651.5701,1710.8189,1772.0,112.3083,1157228889413.0,1468081295653050.0,1.97805412607354e+18,0.59518,0.63298,0.66267,793.7673,871.0,-24.1446,204068785219.0,114189716925403.0,6.91190115128989e+16,0.50848,0.5497,0.5828899999999999,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-d_Post_d,d,Post,d,690418.0,3543.8187,1114.9918,1109.0,-6.4877,269735163327.0,211057528141027.0,1.77062344444378e+17,0.56361,0.60743,0.64169,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-d_Post_g,d,Post,g,697184.0,3930.3111,1114.2132,1106.0,-5.6741,274766601514.0,215530838358386.0,1.81209400573925e+17,0.5676100000000001,0.61136,0.64558,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-v_Ant_d,v,Ant,d,1046098.0,4611.563,1716.6883,1779.0,95.5372,1160242250193.0,1471979826002900.0,1.98408530928805e+18,0.59199,0.62989,0.65966,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-v_Ant_g,v,Ant,g,1048129.0,4876.433,1715.6791,1807.0,98.7388,1206658518079.0,1553044051480640.0,2.12497682085195e+18,0.59378,0.6309100000000001,0.66035,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-v_Post_d,v,Post,d,698378.0,3834.2278,1116.2352,1107.0,50.2176,281903638759.0,223063061421963.0,1.89128777216435e+17,0.57393,0.61749,0.65166,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0079-v_Post_g,v,Post,g,688860.0,3581.7598,1113.7453,1105.0,3.9493,268740890549.0,210120517783873.0,1.76152238807266e+17,0.56525,0.60919,0.64354,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0080-d_Ant_d,d,Ant,d,1070945.0,4645.2026,1698.006,1773.0,89.8408,1180962750871.0,1490669636275060.0,1.99907751552624e+18,0.59228,0.62974,0.6592600000000001,826.7823,901.0,-57.6419,222685507876.0,129308654507656.0,8.14789673683511e+16,0.5061,0.54857,0.5829,m,Heliconiinae,Heliconius,numata,aurora,w
